# To display the perf.data header info, please use --header/--header-only options.
#
# comm: binarytrees.nat
#
# Total Lost Samples: 0
#
# Samples: 4K of event 'instructions'
# Event count (approx.): 25265111740
#
# Overhead  Shared Object       Symbol                                                                                                                                                  
# ........  ..................  ........................................................................................................................................................
#
    32.05%  binarytrees.native  [.] Binarytrees.check_280
    20.07%  binarytrees.native  [.] Binarytrees.make_277
     0.53%  binarytrees.native  [.] <mmtk_ocaml::active_plan::VMActivePlan as mmtk::vm::active_plan::ActivePlan<mmtk_ocaml::OCamlVM>>::is_mutator
     0.52%  binarytrees.native  [.] core::hash::BuildHasher::hash_one
     0.30%  binarytrees.native  [.] <mmtk::util::heap::layout::mmapper::csm::ChunkStateMmapper as mmtk::util::heap::layout::mmapper::Mmapper>::ensure_mapped
     0.19%  binarytrees.native  [.] mmtk::plan::global::CommonPlan<VM>::get_used_pages
     0.19%  binarytrees.native  [.] <mmtk::plan::concurrent::bactrian::global::Bactrian<VM> as mmtk::plan::global::Plan>::collection_required
     0.18%  binarytrees.native  [.] mmtk::plan::global::Plan::get_reserved_pages
     0.16%  binarytrees.native  [.] mmtk::policy::space::Space::acquire
     0.14%  binarytrees.native  [.] caml_reset_young_limit
     0.13%  binarytrees.native  [.] hashbrown::map::HashMap<K,V,S,A>::insert
     0.12%  binarytrees.native  [.] mmtk_ocaml_stw_park
     0.12%  binarytrees.native  [.] mmtk_ocaml_try_mark_running
     0.11%  [unknown]           [k] 0xffffffffa9797a69
     0.11%  binarytrees.native  [.] mmtk_ocaml_poll_finalizable
     0.10%  binarytrees.native  [.] mmtk::policy::space::Space::not_acquiring
     0.10%  binarytrees.native  [.] <std::sync::nonpoison::condvar::Condvar>::notify_all
     0.09%  binarytrees.native  [.] Binarytrees.loop_depths_470
     0.09%  [unknown]           [k] 0xffffffffa9798de1
     0.09%  libc.so.6           [.] pthread_mutex_unlock@@GLIBC_2.2.5
     0.08%  binarytrees.native  [.] <core::hash::sip::Hasher<S> as core::hash::Hasher>::write
     0.07%  [unknown]           [k] 0xffffffffa920014d
     0.06%  [unknown]           [k] 0xffffffffa920010d
     0.05%  binarytrees.native  [.] mmtk::policy::space::Space::get_new_pages_and_initialize
     0.05%  [unknown]           [k] 0xffffffffa979e291
     0.05%  [unknown]           [k] 0xffffffffa9797f3d
     0.05%  binarytrees.native  [.] caml_find_frame_descr
     0.04%  binarytrees.native  [.] hashbrown::raw::RawTable<T,A>::remove_entry
     0.04%  [unknown]           [k] 0xffffffffa9797e53
     0.04%  libc.so.6           [.] pthread_mutex_lock@@GLIBC_2.2.5
     0.04%  binarytrees.native  [.] mmtk::policy::space::Space::handle_obvious_oom_request
     0.04%  binarytrees.native  [.] mmtk::util::alloc::allocator::Allocator::alloc_slow_inline
     0.03%  [unknown]           [k] 0xffffffffa979aa89
     0.03%  binarytrees.native  [.] <mmtk::util::heap::blockpageresource::BlockPageResource<VM,B> as mmtk::util::heap::pageresource::PageResource<VM>>::get_available_physical_pages
     0.03%  [unknown]           [k] 0xffffffffa9795c22
     0.03%  [unknown]           [k] 0xffffffffa9701b8b
     0.03%  binarytrees.native  [.] mmtk_ocaml_gc_count
     0.03%  binarytrees.native  [.] mmtk::util::heap::accounting::PageAccounting::get_reserved_pages
     0.03%  binarytrees.native  [.] caml_call_gc
     0.03%  binarytrees.native  [.] <mmtk::util::heap::monotonepageresource::MonotonePageResource<VM> as mmtk::util::heap::pageresource::PageResource<VM>>::alloc_pages
     0.03%  [unknown]           [k] 0xffffffffa92001b8
     0.03%  binarytrees.native  [.] mmtk::util::heap::pageresource::PageResource::clear_request
     0.03%  [unknown]           [k] 0xffffffffa96b95a5
     0.03%  binarytrees.native  [.] caml_mmtk_quiesce_ack
     0.03%  binarytrees.native  [.] caml_mmtk_park
     0.03%  [unknown]           [k] 0xffffffffa9797cf6
     0.03%  [unknown]           [k] 0xffffffffa92001b7
     0.03%  [unknown]           [k] 0xffffffffa92000f6
     0.02%  [unknown]           [k] 0xffffffffa9a11e41
     0.02%  [unknown]           [k] 0xffffffffa9200080
     0.02%  binarytrees.native  [.] caml_garbage_collection
     0.02%  [unknown]           [k] 0xffffffffa973aac0
     0.02%  [unknown]           [k] 0xffffffffa9200179


#
# (Cannot load tips.txt file, please install perf!)
#
