# To display the perf.data header info, please use --header/--header-only options.
#
# comm: LU_decompositio
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles'
# Event count (approx.): 6692295655
#
# Overhead  Shared Object            Symbol                                                                                                                                                                 
# ........  .......................  .......................................................................................................................................................................
#
    33.71%  LU_decomposition.native  [.] LU_decomposition.get_416
    28.56%  LU_decomposition.native  [.] LU_decomposition.lup_429
    15.55%  LU_decomposition.native  [.] LU_decomposition.set_421
     1.08%  LU_decomposition.native  [.] <mmtk::util::heap::layout::mmapper::csm::ChunkStateMmapper as mmtk::util::heap::layout::mmapper::Mmapper>::ensure_mapped
     0.94%  LU_decomposition.native  [.] mmtk::plan::global::Plan::get_reserved_pages
     0.63%  LU_decomposition.native  [.] <mmtk_ocaml::active_plan::VMActivePlan as mmtk::vm::active_plan::ActivePlan<mmtk_ocaml::OCamlVM>>::is_mutator
     0.63%  LU_decomposition.native  [.] caml_reset_young_limit
     0.54%  LU_decomposition.native  [.] <mmtk::util::heap::monotonepageresource::MonotonePageResource<VM> as mmtk::util::heap::pageresource::PageResource<VM>>::alloc_pages
     0.50%  LU_decomposition.native  [.] mmtk_ocaml_poll_finalizable
     0.50%  LU_decomposition.native  [.] mmtk::policy::space::Space::get_new_pages_and_initialize
     0.50%  LU_decomposition.native  [.] LU_decomposition.create_411
     0.40%  LU_decomposition.native  [.] <mmtk::util::heap::blockpageresource::BlockPageResource<VM,B> as mmtk::util::heap::pageresource::PageResource<VM>>::get_available_physical_pages
     0.36%  LU_decomposition.native  [.] LU_decomposition.fun_581
     0.36%  LU_decomposition.native  [.] <mmtk::util::heap::freelistpageresource::FreeListPageResource<VM> as mmtk::util::heap::pageresource::PageResource<VM>>::get_available_physical_pages
     0.36%  LU_decomposition.native  [.] caml_call_gc
     0.35%  LU_decomposition.native  [.] <mmtk::plan::concurrent::bactrian::global::Bactrian<VM> as mmtk::plan::global::Plan>::collection_required
     0.32%  LU_decomposition.native  [.] mmtk::util::metadata::side_metadata::helpers::try_mmap_contiguous_metadata_space
     0.31%  LU_decomposition.native  [.] caml_find_frame_descr
     0.31%  LU_decomposition.native  [.] mmtk::policy::space::Space::acquire
     0.27%  LU_decomposition.native  [.] <core::hash::sip::Hasher<S> as core::hash::Hasher>::write
     0.27%  LU_decomposition.native  [.] core::hash::BuildHasher::hash_one
     0.23%  LU_decomposition.native  [.] mmtk::plan::global::CommonPlan<VM>::get_used_pages
     0.22%  [unknown]                [k] 0xffffffffa920010d
     0.22%  [unknown]                [k] 0xffffffffa92001c4
     0.18%  LU_decomposition.native  [.] caml_lxm_next_unboxed
     0.18%  LU_decomposition.native  [.] mmtk_ocaml_refill_tlab
     0.18%  LU_decomposition.native  [.] caml_alloc_small_dispatch
     0.18%  LU_decomposition.native  [.] Stdlib.Random.float_1207
     0.18%  LU_decomposition.native  [.] mmtk::policy::space::Space::get_new_pages_and_initialize::{{closure}}
     0.15%  LU_decomposition.native  [.] LU_decomposition.entry
     0.14%  [unknown]                [k] 0xffffffffa92001b7
     0.14%  [unknown]                [k] 0xffffffffa9200ef0
     0.14%  LU_decomposition.native  [.] caml_do_pending_actions_res
     0.14%  [unknown]                [k] 0xffffffffa920009f
     0.13%  LU_decomposition.native  [.] caml_garbage_collection
     0.10%  LU_decomposition.native  [.] mmtk::util::heap::accounting::PageAccounting::get_reserved_pages
     0.09%  libc.so.6                [.] __memmove_evex_unaligned_erms
     0.09%  [unknown]                [k] 0xffffffffa975f6ca
     0.09%  LU_decomposition.native  [.] hashbrown::raw::RawTable<T,A>::remove_entry
     0.09%  LU_decomposition.native  [.] <mmtk::util::heap::gc_trigger::FixedHeapSizeTrigger as mmtk::util::heap::gc_trigger::GCTriggerPolicy<VM>>::get_max_heap_size_in_pages
     0.09%  LU_decomposition.native  [.] mmtk::util::alloc::allocator::AllocationOptionsHolder::get_alloc_options
     0.09%  LU_decomposition.native  [.] Stdlib.Domain.get_686
     0.09%  LU_decomposition.native  [.] caml_get_frame_descrs
     0.09%  [unknown]                [k] 0xffffffffa96b918c
     0.09%  [unknown]                [k] 0xffffffffa96ae5bf
     0.09%  LU_decomposition.native  [.] <mmtk::util::heap::layout::mmapper::csm::two_level_storage::TwoLevelStateStorage as mmtk::util::heap::layout::mmapper::csm::MapStateStorage>::bulk_transition_state
     0.09%  LU_decomposition.native  [.] caml_process_external_interrupt
     0.05%  [unknown]                [k] 0xffffffffa96bc142
     0.05%  [unknown]                [k] 0xffffffffa9742f07
     0.05%  LU_decomposition.native  [.] <std::sys::sync::condvar::futex::Condvar>::wait
     0.05%  [unknown]                [k] 0xffffffffa96c1f50
     0.05%  [unknown]                [k] 0xffffffffa920014d
     0.05%  [unknown]                [k] 0xffffffffa9701bab
     0.05%  [unknown]                [k] 0xffffffffa97952d3
     0.05%  LU_decomposition.native  [.] caml_mmtk_quiesce_ack
     0.05%  [unknown]                [k] 0xffffffffa979b221
     0.05%  [unknown]                [k] 0xffffffffa9959223
     0.05%  LU_decomposition.native  [.] caml_final_do_calls_res
     0.05%  LU_decomposition.native  [.] caml_mmtk_stw_poll
     0.05%  libc.so.6                [.] pthread_mutex_unlock@@GLIBC_2.2.5
     0.05%  [unknown]                [k] 0xffffffffa9797f3d
     0.05%  libc.so.6                [.] syscall
     0.05%  [unknown]                [k] 0xffffffffa96b9182
     0.05%  [unknown]                [k] 0xffffffffa96b0250
     0.05%  [unknown]                [k] 0xffffffffaa91ba28
     0.05%  [unknown]                [k] 0xffffffffa9200112
     0.05%  LU_decomposition.native  [.] caml_mmtk_park
     0.05%  [unknown]                [k] 0xffffffffa9a2c68a
     0.05%  LU_decomposition.native  [.] caml_apply2
     0.05%  LU_decomposition.native  [.] caml_mmtk_run_custom_finalizers
     0.05%  [unknown]                [k] 0xffffffffaa91ba41
     0.05%  [unknown]                [k] 0xffffffffa978bea6
     0.05%  [unknown]                [k] 0xffffffffaa917b9b
     0.05%  [unknown]                [k] 0xffffffffa9200171
     0.05%  [unknown]                [k] 0xffffffffaa932c84
     0.04%  [unknown]                [k] 0xffffffffa92001b8
     0.04%  [unknown]                [k] 0xffffffffa96a183d
     0.04%  [unknown]                [k] 0xffffffffa96c02b0
