# To display the perf.data header info, please use --header/--header-only options.
#
# comm: spectralnorm.na
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles'
# Event count (approx.): 5593266791
#
# Overhead  Shared Object         Symbol                                                                                                                                                                 
# ........  ....................  .......................................................................................................................................................................
#
    45.32%  spectralnorm.native   [.] Spectralnorm.eval_A_274
    21.33%  spectralnorm.native   [.] Spectralnorm.eval_A_times_u_278
    20.27%  spectralnorm.native   [.] Spectralnorm.eval_At_times_u_339
     0.73%  spectralnorm.native   [.] <mmtk::util::heap::layout::mmapper::csm::ChunkStateMmapper as mmtk::util::heap::layout::mmapper::Mmapper>::ensure_mapped
     0.56%  spectralnorm.native   [.] <mmtk_ocaml::active_plan::VMActivePlan as mmtk::vm::active_plan::ActivePlan<mmtk_ocaml::OCamlVM>>::is_mutator
     0.50%  [unknown]             [k] 0xffffffffa92001c4
     0.50%  spectralnorm.native   [.] core::hash::BuildHasher::hash_one
     0.45%  spectralnorm.native   [.] mmtk::plan::global::CommonPlan<VM>::get_used_pages
     0.45%  spectralnorm.native   [.] caml_garbage_collection
     0.39%  spectralnorm.native   [.] mmtk_ocaml_poll_finalizable
     0.39%  spectralnorm.native   [.] <mmtk::plan::concurrent::bactrian::global::Bactrian<VM> as mmtk::plan::global::Plan>::collection_required
     0.34%  [unknown]             [k] 0xffffffffa920009f
     0.34%  [unknown]             [k] 0xffffffffa920014d
     0.34%  spectralnorm.native   [.] mmtk::util::metadata::side_metadata::helpers::try_mmap_contiguous_metadata_space
     0.33%  spectralnorm.native   [.] caml_reset_young_limit
     0.29%  [unknown]             [k] 0xffffffffa92001b7
     0.28%  [unknown]             [k] 0xffffffffa920010d
     0.22%  spectralnorm.native   [.] <mmtk::util::heap::monotonepageresource::MonotonePageResource<VM> as mmtk::util::heap::pageresource::PageResource<VM>>::alloc_pages
     0.22%  spectralnorm.native   [.] mmtk::policy::space::Space::get_new_pages_and_initialize
     0.22%  spectralnorm.native   [.] mmtk::plan::global::Plan::get_reserved_pages
     0.17%  spectralnorm.native   [.] <mmtk::util::heap::layout::mmapper::csm::two_level_storage::TwoLevelStateStorage as mmtk::util::heap::layout::mmapper::csm::MapStateStorage>::bulk_transition_state
     0.17%  spectralnorm.native   [.] caml_find_frame_descr
     0.17%  spectralnorm.native   [.] <mmtk::util::heap::freelistpageresource::FreeListPageResource<VM> as mmtk::util::heap::pageresource::PageResource<VM>>::get_available_physical_pages
     0.16%  spectralnorm.native   [.] <mmtk::util::heap::blockpageresource::BlockPageResource<VM,B> as mmtk::util::heap::pageresource::PageResource<VM>>::get_available_physical_pages
     0.11%  spectralnorm.native   [.] mmtk::util::alloc::allocator::Allocator::alloc_slow_inline
     0.11%  spectralnorm.native   [.] mmtk_ocaml_try_mark_running
     0.11%  [unknown]             [k] 0xffffffffa92011b9
     0.11%  spectralnorm.native   [.] caml_call_gc
     0.11%  spectralnorm.native   [.] <core::hash::sip::Hasher<S> as core::hash::Hasher>::write
     0.11%  spectralnorm.native   [.] mmtk_ocaml_stw_park
     0.06%  [unknown]             [k] 0xffffffffa95edee6
     0.06%  spectralnorm.native   [.] <mmtk::policy::sft_map::sparse_chunk_map::SFTSparseChunkMap as mmtk::policy::sft_map::SFTMap>::get_side_metadata
     0.06%  libc.so.6             [.] pthread_mutex_unlock@@GLIBC_2.2.5
     0.06%  spectralnorm.native   [.] mmtk_ocaml_refill_tlab
     0.06%  spectralnorm.native   [.] mmtk::util::heap::pageresource::PageResource::clear_request
     0.06%  spectralnorm.native   [.] caml_get_frame_descrs
     0.06%  spectralnorm.native   [.] caml_memprof_run_callbacks_res
     0.06%  spectralnorm.native   [.] caml_alloc_small_dispatch
     0.06%  spectralnorm.native   [.] caml_mmtk_stw_poll
     0.06%  [unknown]             [k] 0xffffffffa964dba7
     0.06%  spectralnorm.native   [.] core::ptr::drop_in_place<core::result::Result<(),std::io::error::Error>>
     0.06%  [unknown]             [k] 0xffffffffaa917ab0
     0.06%  libc.so.6             [.] syscall
     0.06%  [unknown]             [k] 0xffffffffa92001bd
     0.05%  [unknown]             [k] 0xffffffffa96a3dcb
     0.05%  [unknown]             [k] 0xffffffffa9200ef0
     0.05%  [unknown]             [k] 0xffffffffc0cab7cc
     0.05%  [unknown]             [k] 0xffffffffa96db82d
     0.05%  spectralnorm.native   [.] caml_do_pending_actions_res
     0.05%  [unknown]             [k] 0xffffffffa966dc46
     0.05%  [unknown]             [k] 0xffffffffa9609284
     0.05%  spectralnorm.native   [.] pthread_mutex_unlock@plt
     0.05%  [unknown]             [k] 0xffffffffa9546bb0
     0.05%  [unknown]             [k] 0xffffffffa964db30
     0.05%  [unknown]             [k] 0xffffffffa96e5930
     0.05%  [unknown]             [k] 0xffffffffa920008b
     0.05%  spectralnorm.native   [.] caml_final_do_calls_res
     0.04%  [unknown]             [k] 0xffffffffa9a34bfb
     0.04%  [unknown]             [k] 0xffffffffa92015f2
     0.04%  ld-linux-x86-64.so.2  [.] _dl_relocate_object_no_relro
     0.04%  [unknown]             [k] 0xffffffffa99979ba
     0.03%  [unknown]             [k] 0xffffffffa9b45eca


#
# (Cannot load tips.txt file, please install perf!)
#
