# To display the perf.data header info, please use --header/--header-only options.
#
# comm: spectralnorm.na
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'instructions'
# Event count (approx.): 18144741738
#
# Overhead  Shared Object        Symbol                                                                                                                                              
# ........  ...................  ....................................................................................................................................................
#
    53.35%  spectralnorm.native  [.] Spectralnorm.eval_A_274
    21.45%  spectralnorm.native  [.] Spectralnorm.eval_A_times_u_278
    20.65%  spectralnorm.native  [.] Spectralnorm.eval_At_times_u_339
     0.63%  spectralnorm.native  [.] <mmtk::util::heap::layout::mmapper::csm::ChunkStateMmapper as mmtk::util::heap::layout::mmapper::Mmapper>::ensure_mapped
     0.53%  spectralnorm.native  [.] mmtk::plan::global::CommonPlan<VM>::get_used_pages
     0.45%  spectralnorm.native  [.] <mmtk_ocaml::active_plan::VMActivePlan as mmtk::vm::active_plan::ActivePlan<mmtk_ocaml::OCamlVM>>::is_mutator
     0.23%  spectralnorm.native  [.] <mmtk::plan::concurrent::bactrian::global::Bactrian<VM> as mmtk::plan::global::Plan>::collection_required
     0.22%  spectralnorm.native  [.] mmtk::util::metadata::side_metadata::helpers::try_mmap_contiguous_metadata_space
     0.17%  spectralnorm.native  [.] mmtk_ocaml_poll_finalizable
     0.12%  spectralnorm.native  [.] mmtk::plan::global::Plan::get_reserved_pages
     0.12%  spectralnorm.native  [.] <mmtk::util::heap::blockpageresource::BlockPageResource<VM,B> as mmtk::util::heap::pageresource::PageResource<VM>>::get_available_physical_pages
     0.11%  spectralnorm.native  [.] mmtk::policy::space::Space::get_new_pages_and_initialize
     0.11%  spectralnorm.native  [.] core::hash::BuildHasher::hash_one
     0.11%  spectralnorm.native  [.] caml_call_gc
     0.06%  spectralnorm.native  [.] <mmtk::util::heap::monotonepageresource::MonotonePageResource<VM> as mmtk::util::heap::pageresource::PageResource<VM>>::alloc_pages
     0.06%  [unknown]            [k] 0xffffffffa979aa89
     0.06%  spectralnorm.native  [.] mmtk_ocaml_try_mark_running
     0.06%  spectralnorm.native  [.] mmtk_ocaml_refill_tlab
     0.06%  spectralnorm.native  [.] <T as core::any::Any>::type_id
     0.06%  spectralnorm.native  [.] mmtk::policy::space::Space::not_acquiring
     0.06%  spectralnorm.native  [.] caml_reset_young_limit
     0.06%  [unknown]            [k] 0xffffffffa920014d
     0.06%  [unknown]            [k] 0xffffffffa9797a69
     0.06%  spectralnorm.native  [.] hashbrown::map::HashMap<K,V,S,A>::insert
     0.06%  spectralnorm.native  [.] mmtk::policy::space::Space::handle_obvious_oom_request
     0.06%  spectralnorm.native  [.] <mmtk::plan::generational::ALLOCATOR_MAPPING as core::ops::deref::Deref>::deref
     0.06%  [unknown]            [k] 0xffffffffa9798d80
     0.06%  spectralnorm.native  [.] mmtk::memory_manager::is_alloc_zeroed
     0.06%  spectralnorm.native  [.] caml_find_frame_descr
     0.06%  spectralnorm.native  [.] <core::hash::sip::Hasher<S> as core::hash::Hasher>::write
     0.05%  [unknown]            [k] 0xffffffffa979e291


#
# (Cannot load tips.txt file, please install perf!)
#
