stage ns wall_s
default none 0 40.25
default nursery_pause 1000000 40.49
default nursery_pause 2000000 41.38
default nursery_pause 4000000 40.92
default full_pause 20000000 41.11
default full_pause 40000000 42.55
default cycle_pause 20000000 40.49
default object_copy 100 40.34
default object_copy 200 41.03
default object_copy 400 41.67
default modbuf_object 100 41.75
default modbuf_object 400 41.52
default modbuf_object 1600 41.56
default scan_object 100 49.94
default scan_object 200 59.02
default scan_object 400 69.24
default mark_quantum 100000 41.88
default mark_quantum 400000 41.58
default sweep_quantum 100000 40.67
default sweep_quantum 400000 41.33
off none 0 27.30
off nursery_pause 1000000 27.27
off nursery_pause 2000000 27.49
off nursery_pause 4000000 27.88
off full_pause 20000000 27.33
off full_pause 40000000 27.04
off cycle_pause 20000000 26.52
off object_copy 100 26.61
off object_copy 200 26.77
off object_copy 400 26.80
off modbuf_object 100 26.65
off modbuf_object 400 26.58
off modbuf_object 1600 25.79
off scan_object 100 36.36
off scan_object 200 42.14
off scan_object 400 54.80
off mark_quantum 100000 27.06
off mark_quantum 400000 26.90
off sweep_quantum 100000 26.95
off sweep_quantum 400000 26.56
