stage ns wall_s
default none 0 42.29
default nursery_pause 10000000 44.82
default nursery_pause 20000000 49.36
default nursery_pause 40000000 59.32
default full_pause 500000000 47.42
default full_pause 1000000000 52.51
default cycle_pause 500000000 43.45
default scan_object 100 50.41
default scan_object 200 59.13
default scan_object 400 69.14
default mark_quantum 1000000 42.65
default mark_quantum 4000000 43.37
default sweep_quantum 1000000 42.88
default sweep_quantum 4000000 40.79
default modbuf_object 1000000 42.84
off none 0 27.82
off nursery_pause 10000000 32.36
off nursery_pause 20000000 35.54
off nursery_pause 40000000 43.95
off full_pause 500000000 29.33
off full_pause 1000000000 30.85
off cycle_pause 500000000 28.89
off scan_object 100 37.30
off scan_object 200 44.73
off scan_object 400 56.52
off mark_quantum 1000000 27.54
off mark_quantum 4000000 27.75
off sweep_quantum 1000000 26.87
off sweep_quantum 4000000 27.19
off modbuf_object 1000000 27.65
