[pace] quantum hint 2.0ms (debt 0MB, runway 23MB, 1 pauses, tick=false)
[pace] quantum hint 3.2ms (debt 341MB, runway 1702MB, 106 pauses, tick=false)
[pace] quantum hint 2.0ms (debt 341MB, runway 2709MB, 169 pauses, tick=false)
[pace] quantum hint 2.0ms (debt 341MB, runway 3525MB, 220 pauses, tick=false)
[pace] quantum hint 2.0ms (debt 341MB, runway 4531MB, 283 pauses, tick=false)
[pace] quantum hint 2.0ms (debt 341MB, runway 5347MB, 334 pauses, tick=false)
[pace] quantum hint 2.0ms (debt 341MB, runway 6354MB, 397 pauses, tick=false)
[pace] quantum hint 2.0ms (debt 341MB, runway 7170MB, 448 pauses, tick=false)
[pace] quantum hint 2.0ms (debt 341MB, runway 8111MB, 506 pauses, tick=false)
[pace] quantum hint 2.0ms (debt 341MB, runway 8993MB, 562 pauses, tick=false)
[pace] quantum hint 2.0ms (debt 341MB, runway 9808MB, 613 pauses, tick=false)
[pace] quantum hint 2.0ms (debt 341MB, runway 10815MB, 675 pauses, tick=false)
[pace] quantum hint 2.0ms (debt 341MB, runway 11631MB, 726 pauses, tick=false)
[pace] quantum hint 2.0ms (debt 341MB, runway 12638MB, 789 pauses, tick=false)
[pace] quantum hint 2.0ms (debt 341MB, runway 13454MB, 840 pauses, tick=false)
[pace] quantum hint 2.0ms (debt 341MB, runway 14460MB, 903 pauses, tick=false)
[pace] quantum hint 2.0ms (debt 341MB, runway 15276MB, 954 pauses, tick=false)
[pace] quantum hint 2.0ms (debt 341MB, runway 16203MB, 1012 pauses, tick=false)
[pace] quantum hint 2.0ms (debt 341MB, runway 17099MB, 1068 pauses, tick=false)
[pace] quantum hint 2.0ms (debt 341MB, runway 17915MB, 1119 pauses, tick=false)
[pace] quantum hint 2.0ms (debt 341MB, runway 18922MB, 1182 pauses, tick=false)
[pace] quantum hint 2.0ms (debt 341MB, runway 19737MB, 1233 pauses, tick=false)
[pace] quantum hint 2.0ms (debt 341MB, runway 20744MB, 1296 pauses, tick=false)
[pace] quantum hint 2.0ms (debt 341MB, runway 21560MB, 1347 pauses, tick=false)
[pace] quantum hint 2.0ms (debt 341MB, runway 22567MB, 1410 pauses, tick=false)
[pace] quantum hint 2.0ms (debt 341MB, runway 23383MB, 1461 pauses, tick=false)
[pace] quantum hint 2.0ms (debt 341MB, runway 24295MB, 1518 pauses, tick=false)
[pace] quantum hint 2.0ms (debt 341MB, runway 25205MB, 1575 pauses, tick=false)
[pace] quantum hint 2.0ms (debt 341MB, runway 26021MB, 1626 pauses, tick=false)
[pace] quantum hint 2.0ms (debt 341MB, runway 27028MB, 1689 pauses, tick=false)
[pace] quantum hint 2.0ms (debt 341MB, runway 27844MB, 1740 pauses, tick=false)
[pace] quantum hint 2.0ms (debt 341MB, runway 28851MB, 1803 pauses, tick=false)
[pace] quantum hint 2.0ms (debt 341MB, runway 29667MB, 1854 pauses, tick=false)
