gate-v5 nbody: golden=OK wall_med=0.720s (n=3) rss=10MB pauses=0 fulls=0 max_pause=0.0ms | [mmtk] GCs: 0 (full: 0), GC time: 0 ms, objects copied: 0
gate-v5 fannkuchredux: golden=OK wall_med=1.460s (n=3) rss=10MB pauses=0 fulls=0 max_pause=0.0ms | [mmtk] GCs: 0 (full: 0), GC time: 0 ms, objects copied: 0
gate-v5 mandelbrot: golden=OK wall_med=0.660s (n=3) rss=9MB pauses=0 fulls=0 max_pause=0.0ms | [mmtk] GCs: 0 (full: 0), GC time: 0 ms, objects copied: 0
gate-v5 spectralnorm: golden=OK wall_med=0.970s (n=3) rss=20MB pauses=754 fulls=22 max_pause=1.1ms | [mmtk] GCs: 754 (full: 22), GC time: 62 ms, objects copied: 37
gate-v5 LU_decomposition: golden=OK wall_med=1.190s (n=3) rss=34MB pauses=1536 fulls=47 max_pause=1.0ms | [mmtk] GCs: 1536 (full: 47), GC time: 128 ms, objects copied: 102
gate-v5 matrix_multiplication: golden=OK wall_med=0.640s (n=3) rss=35MB pauses=3 fulls=1 max_pause=15.5ms | [mmtk] GCs: 3 (full: 1), GC time: 16 ms, objects copied: 101
gate-v5 binarytrees: golden=OK wall_med=2.910s (n=3) rss=162MB pauses=260 fulls=15 max_pause=49.6ms | [mmtk] GCs: 260 (full: 15), GC time: 1609 ms, objects copied: 18080679
gate-v5 kb: golden=OK wall_med=1.390s (n=3) rss=25MB pauses=246 fulls=12 max_pause=4.0ms | [mmtk] GCs: 246 (full: 12), GC time: 449 ms, objects copied: 3716849
gate-v5 weak_memo: golden=OK wall_med=1.100s (n=3) rss=28MB pauses=138 fulls=5 max_pause=6.4ms | [mmtk] GCs: 138 (full: 5), GC time: 472 ms, objects copied: 2179135
gate-v5 mature_mutation: golden=OK wall_med=1.650s (n=3) rss=71MB pauses=61 fulls=17 max_pause=41.5ms | [mmtk] GCs: 61 (full: 17), GC time: 1207 ms, objects copied: 8013074
gate-v5 fragmed: golden=OK wall_med=0.240s (n=3) rss=231MB pauses=30 fulls=8 max_pause=21.3ms | [mmtk] GCs: 30 (full: 8), GC time: 109 ms, objects copied: 37
